electorate_id,locality_suburb_id,postcode_id,state_id
23,1542,580,2
23,1545,549,2
23,1564,578,2
23,1577,584,2
23,1582,580,2
23,1588,541,2
23,1676,577,2
23,1696,546,2
23,1764,576,2
23,1820,548,2
23,1831,546,2
23,1865,578,2
23,1880,577,2
23,1885,578,2
23,1956,585,2
23,1990,579,2
23,2063,543,2
23,2074,546,2
23,2099,578,2
23,2139,577,2
23,2141,547,2
23,2168,549,2
23,2170,578,2
23,2220,546,2
23,2237,577,2
23,2285,578,2
23,2321,549,2
23,2328,551,2
23,2368,575,2
23,2393,578,2
23,2394,542,2
23,2411,549,2
23,2488,577,2
23,2596,576,2
23,2609,546,2
23,2615,540,2
23,2706,576,2
23,2712,541,2
23,2736,546,2
23,2747,549,2
23,2757,549,2
23,2800,541,2
23,2840,577,2
23,2879,578,2
23,2891,546,2
23,2914,556,2
23,2968,578,2
23,3051,578,2
23,3053,579,2
23,3060,546,2
23,3095,541,2
23,3135,546,2
23,3155,577,2
23,3156,577,2
23,3220,578,2
23,3243,546,2
23,3252,580,2
23,3254,578,2
23,3270,541,2
23,3271,578,2
23,3279,579,2
23,3282,578,2
23,3284,583,2
23,3292,582,2
24,460,647,7
24,1752,645,7
24,2271,658,7
24,2981,646,7
24,3168,661,7
24,3354,645,7
24,4018,657,7
24,4281,641,7
24,4489,656,7
24,4915,645,7
24,4997,661,7
24,5064,634,7
24,5069,640,7
24,5695,646,7
24,5713,643,7
24,5764,661,7
24,6253,660,7
24,6647,661,7
24,6788,659,7
24,7076,641,7
24,7096,645,7
24,7275,647,7
24,7442,660,7
25,38,426,1
25,71,427,1
25,350,436,1
25,789,425,1
25,859,440,1
25,925,438,1
25,1635,435,1
25,1826,438,1
25,2268,435,1
25,2290,433,1
25,2291,426,1
25,2292,426,1
25,2963,436,1
25,3009,434,1
25,3326,430,1
25,3429,425,1
25,3518,427,1
25,3597,427,1
25,4126,428,1
25,4188,433,1
25,4211,430,1
25,4268,438,1
25,4505,428,1
25,4558,427,1
25,4636,436,1
25,4825,430,1
25,4994,438,1
25,5185,429,1
25,5237,440,1
25,5238,440,1
25,5361,438,1
25,5527,427,1
25,5530,431,1
25,5553,436,1
25,5575,433,1
25,5830,434,1
25,6078,429,1
25,6259,440,1
25,6240,427,1
25,6353,425,1
25,6418,433,1
25,6542,428,1
25,6560,435,1
25,6936,433,1
25,7079,435,1
25,7206,427,1
25,7222,436,1
25,7278,434,1
25,7421,425,1
26,396,1869,8
26,435,1868,8
26,687,1969,8
26,767,1911,8
26,881,1869,8
26,1206,1915,8
26,1332,1910,8
26,1359,1969,8
26,1578,1913,8
26,2137,1871,8
26,2311,1868,8
26,2403,1871,8
26,2431,1848,8
26,2957,1912,8
26,2997,1915,8
26,3225,1969,8
26,3390,1871,8
26,3419,1913,8
26,3635,1912,8
26,3697,1914,8
26,3919,1912,8
26,3983,1910,8
26,3999,1912,8
26,4186,1911,8
26,4420,1867,8
26,4477,1912,8
26,4578,1912,8
26,4581,1916,8
26,4708,1913,8
26,4740,1869,8
26,4788,1914,8
26,4798,1874,8
26,4875,1914,8
26,4933,1873,8
26,5038,1868,8
26,5040,1871,8
26,5121,1875,8
26,5291,1916,8
26,5306,1906,8
26,5486,1969,8
26,5562,1912,8
26,5594,1912,8
26,5623,1874,8
26,5649,1969,8
26,5653,1914,8
26,5660,1867,8
26,5696,1912,8
26,5705,1910,8
26,6006,1869,8
26,6024,1872,8
26,6048,1909,8
26,6062,1909,8
26,6064,1916,8
26,6136,1910,8
26,6171,1909,8
26,6216,1910,8
26,6249,1870,8
26,6258,1910,8
26,6273,1870,8
26,6282,1866,8
26,6355,1906,8
26,6420,1848,8
26,6431,1910,8
26,6452,1910,8
26,6484,1916,8
26,6510,1970,8
26,6529,1969,8
26,6538,1910,8
26,6612,1868,8
26,6690,1912,8
26,6737,1874,8
26,6766,1912,8
26,6826,1910,8
26,6867,1907,8
26,6974,1914,8
26,7108,1969,8
26,7139,1916,8
26,7165,1912,8
26,7185,1916,8
26,7244,1915,8
26,7260,1910,8
26,7286,1872,8
26,7293,1909,8
26,7395,1869,8
26,7396,1969,8
27,55,1452,4
27,124,1471,4
27,170,1449,4
