id,locality_suburb
1420,Bondi Junction
1421,Bondoola
1422,Bonegilla
1423,Boneo
1424,Bongaree
1425,Bongeen
1426,Bonn
1427,Bonnells Bay
1428,Bonner
1429,Bonnet Bay
1430,Bonnet Hill
1431,Bonnie Brook
1432,Bonnie Doon
1433,Bonnie Rock
1434,Bonnie Vale
1435,Bonniefield
1436,Bonny Hills
1437,Bonnyrigg
1438,Bonnyrigg Heights
1439,Bonogin
1440,Bonshaw
1441,Bonville
1442,Bony Mountain
1443,Bonython
1444,Booborowie
1445,Booby Island
1446,Boobyalla
1447,Boodarie
1448,Boodarockin
1449,Boodua
1450,Booerie Creek
1451,Boogabi
1452,Boogan
1453,Booie
1454,Book Book
1455,Bookaar
1456,Bookabie
1457,Bookara
1458,Booker Bay
1459,Bookham
1460,Bookookoorara
1461,Bookpurnong
1462,Bool Lagoon
1463,Boola
1464,Boolambayte
1465,Boolarong
1466,Boolaroo
1467,Boolarra
1468,Boolarra South
1469,Boolboonda
1470,Boolburra
1471,Boolcarroll
1472,Boole Poole
1473,Booleroo Centre
1474,Boolgun
1475,Booligal
1476,Boolite
1477,Boomahnoomoonah
1478,Boomanoomana
1479,Boomer Bay
1480,Boomerang Beach
1481,Boomey
1482,Boomi
1483,Boomi Creek
1484,Boompa
1485,Boona Mount
1486,Boonah
1487,Boonal
1488,Boonanarring
1489,Boonara
1490,Boonarga
1491,Boondall
1492,Boondooma
1493,Boonerdo
1494,Boonjie
1495,Boonoo Boonoo
1496,Boonooroo
1497,Boonooroo Plains
1498,Boorabbin
1499,Boorabee Park
1500,Booragoon
1501,Booragul
1502,Booral
1503,Booralaming
1504,Boorara Brook
1505,Boorcan
1506,Boorga
1507,Boorganna
1508,Boorhaman
1509,Boorhaman East
1510,Boorhaman North
1511,Boorolite
1512,Boorolong
1513,Booroobin
1514,Boorook
1515,Boorool
1516,Boorooma
1517,Booroorban
1518,Boorowa
1519,Boors Plain
1520,Boort
1521,Boosey
1522,Bootawa
1523,Bootenal
1524,Booth District
1525,Boothendarra
1526,Booti Booti
1527,Booubyjan
1528,Booval
1529,Booyal
1530,Booyong
1531,Bora Ridge
1532,Borah Creek
1533,Borallon
1534,Boralma
1535,Borambil
1536,Borambola
1537,Boranup
1538,Borden
1539,Borderdale
1540,Bordertown
1541,Bordertown South
1542,Boree
1543,Boree Creek
1544,Boreen Point
1545,Borenore
1546,Bornes Hill
1547,Bornholm
1548,Boro
1549,Boronia
1550,Boronia Heights
1551,Boronia Park
1552,Bororen
1553,Borrika
1554,Borung
1555,Boscabel
1556,Bossley Park
1557,Bostobrick
1558,Bostocks Creek
1559,Boston
1560,Bosworth
1561,Botanic Ridge
1562,Botany
1563,Bothwell
1564,Botobolar
1565,Bottle Creek
1566,Bouddi
1567,Boulder
1568,Boulder Creek
1569,Bouldercombe
1570,Boulia
1571,Boundain
1572,Boundary Bend
1573,Bourbah
1574,Bourke
1575,Bourkelands
1576,Bournda
1577,Bournewood
1578,Bouvard
1579,Bovell
1580,Bow Bowing
1581,Bow Bridge
1582,Bowan Park
1583,Bowden
1584,Bowelling
1585,Bowen
